FHMID,Name,Season,1AS,2AS,3AS,RAS,AS,CC,Bojo Biscuit,Anton Razov,Aidan Richan,Jeff Dar,John McBride,Ryan Jesster,Scott Stevens,Ron Mexico,Turd Ferguson,Mike Honcho,Jay MacDonald,Sergei Karpotsov,Sarmad Khan
1000088,Jay McDonald,S01,,,,,,,,1,,,,,,,,,,,
1000111,Jeff Dar,S01,,,,,,,,,,1,,,,,,,,,
1000147,Joe Duncombe,S01,,,,,,,,,,0,,,,,,,,,
1000193,Joe Frankenberg,S01,,,,,,,,,,0,,,,,,,,,
1000769,Jonathan Kane,S01,,,,,,,,,,,0,,,,,,,,
1100006,Fernando Garcia,S01,,,,,,,,,,,1,,,,,,,,
1100008,Mike O'Brien,S01,,,,,,,,,,,0,,,,,,,,
1000134,Scott Stevens,S01,,,,,,,,,,,,,0,,,,,,
1000049,Damian Littleton,S01,,,,,,,,,,,,,0,,,,,,
1000021,J.J Krever,S01,,,,,,,,,,,,,1,,,,,,
1000077,Sergei Karpotsov,S01,,,,,,,,,,,,,,0,,,,,
1000033,Alex Reay,S01,,,,,,,,,,,,,,1,,,,,
1100008,Mike O'Brien,S01,,,,,,,,,,,,,,0,,,,,
1000193,Joe Frankenberg,S01,,,,,,,,,,,,,,,1,,,,
1100006,Fernando Garcia,S01,,,,,,,,,,,,,,,,1,,,
1000033,Alex Reay,S01,,,,,,,,,,,,,,,,,1,,
1000033,Alex Reay,S01,,,,,,,,,,,,,,,,,,1,
1000033,Alex Reay,S01,,,,,,,,,,,,,,,,,,,1
1102334,Keith Boucher,S01,,,,,,1,,,,,,,,,,,,,
1102336,Drew Doughty,S01,,,,,,1,,,,,,,,,,,,,
1102335,Bob Johnson,S01,,,,,,1,,,,,,,,,,,,,
1000077,Sergei Karpotsov,S01,,,,,,1,,,,,,,,,,,,,
1000071,Castiel Lee,S01,,,,,,1,,,,,,,,,,,,,
1102333,Tebow LeMaster,S01,,,,,,1,,,,,,,,,,,,,
1000048,Sean Leonidas,S01,,,,,,1,,,,,,,,,,,,,
1000049,Damian Littleton,S01,,,,,,1,,,,,,,,,,,,,
1000769,Jonathan Kane,S01,,,,,,1,,,,,,,,,,,,,
1000088,Jay McDonald,S01,,,,,,1,,,,,,,,,,,,,
1000050,Ron Mexico,S01,,,,,,1,,,,,,,,,,,,,
1000138,Pavol Skvoznak,S01,,,,,,1,,,,,,,,,,,,,
1000021,J.J Krever,S01,,,,,1,,,,,,,,,,,,,,
1000033,Alex Reay,S01,,,,,1,,,,,,,,,,,,,,
1102332,Dimitri Scorelov,S01,,,,,1,,,,,,,,,,,,,,
1000109,Eliseo Zamora,S01,,,,,1,,,,,,,,,,,,,,
1000061,Kevin Paille,S01,,,,,1,,,,,,,,,,,,,,
1100006,Fernando Garcia,S01,,,,,1,,,,,,,,,,,,,,
1000034,Sarmad Khan,S01,,,,,1,,,,,,,,,,,,,,
1000134,Scott Stevens,S01,,,,,1,,,,,,,,,,,,,,
1000153,Tahk Paccenn,S01,,,,,1,,,,,,,,,,,,,,
1000143,Tony Falone,S01,,,,,1,,,,,,,,,,,,,,
1000087,Zac Goonathan,S01,,,,,1,,,,,,,,,,,,,,
1000025,Anton Razov,S01,,,,,1,,,,,,,,,,,,,,
1000049,Damian Littleton,S01,,,,,1,,,,,,,,,,,,,,
1000053,Gregory Lazaro,S01,,,,,1,,,,,,,,,,,,,,
1000088,Jay McDonald,S01,,,,,1,,,,,,,,,,,,,,
1000046,Joe Momma,S01,,,,,1,,,,,,,,,,,,,,
1000041,Kelly Kane,S01,,,,,1,,,,,,,,,,,,,,
1000014,Pierre-John Bottoms,S01,,,,,1,,,,,,,,,,,,,,
1000136,Ryan Dumoulin,S01,,,,,1,,,,,,,,,,,,,,
1000077,Sergei Karpotsov,S01,,,,,1,,,,,,,,,,,,,,
1102342,Ty LeMaster,S01,,,,,1,,,,,,,,,,,,,,
1100002,Ryan Jesster,S01,,,,,1,,,,,,,,,,,,,,
1000099,Waldo Cezar,S01,,,,,1,,,,,,,,,,,,,,
1100006,Fernando Garcia,S02,,,,,,,,1,,,,,,,,,,,
1000092,Nathan D'Angelo,S02,,,,,,,,,,1,,,,,,,,,
1000076,Carl Racki,S02,,,,,,,,,,0,,,,,,,,,
1000070,Richard Metcalf,S02,,,,,,,,,,0,,,,,,,,,
1100002,Ryan Jesster,S02,,,,,,,,,,,0,,,,,,,,
1100003,Mike Honcho,S02,,,,,,,,,,,1,,,,,,,,
1100006,Fernando Garcia,S02,,,,,,,,,,,0,,,,,,,,
1000058,Brandon Holmes,S02,,,,,,,,,,,,0,,,,,,,
1100003,Mike Honcho,S02,,,,,,,,,,,,0,,,,,,,
1000117,Jamie Campagiorni,S02,,,,,,,,,,,,1,,,,,,,
1000134,Scott Stevens,S02,,,,,,,,,,,,,0,,,,,,
1000074,Mikey Broomfield,S02,,,,,,,,,,,,,1,,,,,,
1000045,Dominic Turcotte,S02,,,,,,,,,,,,,0,,,,,,
1000077,Sergei Karpotsov,S02,,,,,,,,,,,,,,0,,,,,
1000034,Sarmad Khan,S02,,,,,,,,,,,,,,1,,,,,
1100008,Mike O'Brien,S02,,,,,,,,,,,,,,0,,,,,
1000094,Ross Burke,S02,,,,,,,,,,,,,,,1,,,,
1100006,Fernando Garcia,S02,,,,,,,,,,,,,,,,1,,,
1000088,Jay McDonald,S02,,,,,,,,,,,,,,,,,1,,
1000071,Castiel Lee,S02,,,,,,,,,,,,,,,,,1,,
1000072,Corey Michael,S02,,,,,,,,,,,,,,,,,,1,
1000034,Sarmad Khan,S02,,,,,,,,,,,,,,,,,,,1
1000080,Alexander Cattermole,S02,,,,,,1,,,,,,,,,,,,,
1000057,Sergei Emilianenko,S02,,,,,,1,,,,,,,,,,,,,
1100006,Fernando Garcia,S02,,,,,,1,,,,,,,,,,,,,
1004838,Happy Gilmore,S02,,,,,,1,,,,,,,,,,,,,
1000075,Dorian Greiser,S02,,,,,,1,,,,,,,,,,,,,
1000058,Brandon Holmes,S02,,,,,,1,,,,,,,,,,,,,
1000067,Colin Holmes,S02,,,,,,1,,,,,,,,,,,,,
1000060,Alex Kachur,S02,,,,,,1,,,,,,,,,,,,,
1000063,Alexei Koradek,S02,,,,,,1,,,,,,,,,,,,,
1000034,Sarmad Khan,S02,,,,,,1,,,,,,,,,,,,,
1000053,Gregory Lazaro,S02,,,,,,1,,,,,,,,,,,,,
1000064,Edgar Marcco,S02,,,,,,1,,,,,,,,,,,,,
1000061,Kevin Paille,S02,,,,,,1,,,,,,,,,,,,,
1000033,Alex Reay,S02,,,,,,1,,,,,,,,,,,,,
1000411,Riku Showron,S02,,,,,,1,,,,,,,,,,,,,
