Player Name,Count of Season,GP,G,A,P,plusMinus,PIM,HIT,HTT,SHT,SB,MP,PPG,PPA,PPP,PPS,PPM,PKG,PKA,PKP,PKS,PKM,GWG,GTG,FOT,ENG,HT,PSG,PSA,FW,FL,FD,FOWQ,,,
Esa Anrikkanen,29,1458,514,549,1063,186,862,120,2054,2575,4746,223,645,257,31386,114,162,276,950,4100,7,4,11,84,2676,95,31,17258,6,8,35,123,2,,,
Joe McKeil,26,1248,345,582,927,128,1239,305,2335,2406,3286,116,272,256,24299,75,168,243,621,3301,3,8,11,50,1721,64,32,17468,5,8,15,45,7,0,0,1
Kristian Eriksson,24,1208,489,523,1012,34,904,170,2471,2048,4597,251,582,301,27244,112,148,260,809,3516,8,4,12,72,2499,73,33,3007,6,6,39,129,7,0,0,2894
Alonzo Garbanzo,24,1208,208,765,973,-18,1232,170,2587,1892,2316,122,288,1882,30960,111,170,281,1196,3442,0,6,6,20,2313,31,23,8,3,1,7,29,5,8,17,8
Theo Kane,24,1154,436,471,907,148,444,70,1798,1890,3822,109,325,280,24942,77,119,196,610,2811,7,2,9,59,1615,85,21,10881,5,8,25,91,1,1,,0
Joe Kurczewski,24,1143,403,537,940,241,784,85,2437,2030,3854,628,1701,336,24689.46667,69,126,195,619,2474.466667,6,4,10,45,1689.45,70,29,13514,10,5,11,50,8,0,0,3568
Brendan Gibbon,24,1117,118,206,324,49,692,130,1846,1002,1184,127,217,195,14167,7,37,44,138,1255,3,9,12,31,1502,16,6,2812,4,1,3,7,5,1,3,4724
Nicholas Pedersen,24,1113,345,524,869,215,484,110,1133,2022,3250,84,176,237,23920,55,134,189,505,2966,2,9,11,44,2052,59,20,15305,6,4,12,49,5,1,0,63
Brandon Cant,26,1110,118,440,558,69,798,180,1147,1345,1386,8,10,1211,23357,57,111,168,753,2563,1,7,8,20,2845,27,9,9,2,0,0,0,9,0,0,0
Taylor McDavid,23,1109,330,540,870,142,1558,470,3434,2414,3067,135,226,386,23546,80,172,252,693,3278,4,7,11,63,2730,58,24,14584,3,1,25,95,17,4,0,2
