Player Name,Row Labels,Count of Season,GP,G,A,P,plusMinus,PIM,HIT,HTT,SHT,SB,MP,PPG,PPA,PPP,PPS,PPM,PKG,PKA,PKP,PKS,PKM,GWG,GTG,FOT,ENG,HT,PSG,PSA,FW,FL,FD,FOWQ,,
Joe Kurczewski,22,252,94,135,229,39,161,15,515,428,790,139,381,86,5271.333333,14,37,51,143,579.8666667,1,0,1,13,410.2166667,15,5,3434,2,4,0,0,1,,,
Terrance Nova,14,164,82,78,160,38,33,5,172,367,619,121,299,38,3963,14,17,31,95,493,0,0,0,0,283,13,3,2761,1,4,0,0,0,0,0,0
Mike Izzy,19,192,77,80,157,10,209,10,679,377,692,139,386,83,4154,17,15,32,120,473.3166667,5,1,6,18,387.3,10,6,3699,1,4,0,0,0,0,0,856
Hippo Passamus,14,200,68,86,154,51,59,5,403,158,606,60,189,137,4422.783333,9,10,19,55,286.3666667,0,1,1,7,195.75,10,1,993,0,0,0,0,0,,,
Viktor Marius,13,141,60,62,122,40,75,5,367,202,507,126,305,27,3099.4,7,12,19,66,296.6166667,3,0,3,6,190.8666667,10,4,1297,0,1,0,0,0,0,,0
Trevor Wilson,17,186,59,83,142,-16,40,0,189,256,614,118,359,39,3750,8,21,29,74,350,1,0,1,9,249,7,0,305,1,0,0,0,0,0,0,375
Theo Morgan,11,129,58,62,120,14,22,0,158,40,451,25,69,59,2738.866667,10,16,26,23,288.3666667,0,0,0,0,103.5,7,1,114,0,0,0,0,0,0,0,4
Corey Bearss,12,145,56,68,124,5,64,0,255,209,431,51,184,42,3092,15,11,26,76,326,1,1,2,8,306,9,4,282,1,2,0,0,0,0,,0
Randy Randleman,13,147,55,71,126,43,98,20,234,309,543,31,78,41,3277,5,16,21,81,371,1,2,3,3,292,6,2,2606,0,1,0,0,0,0,0,0
Dani Forsberg,13,148,54,79,133,13,90,0,316,284,549,141,354,33,3399,12,23,35,110,437,2,0,2,8,274,9,3,317,0,2,0,0,0,0,2,46
Alex Light,13,141,53,66,119,20,95,35,154,243,508,126,309,22,3196,11,21,32,71,378,1,0,1,7,192,13,4,1574,3,3,0,0,2,0,0,0
Monkey D. Luffy,12,149,52,85,137,21,26,0,176,43,579,35,93,51,3301.6,6,13,19,16,297.4,1,1,2,0,66.48333333,9,0,88,0,0,0,0,0,0,0,22
Oisin Fletcher,11,132,52,55,107,-8,58,10,178,278,455,129,252,52,3027,12,14,26,77,300,1,0,1,6,313,11,3,2512,0,3,0,0,0,0,0,0
Robert Phelps,16,167,52,82,134,3,92,15,217,301,585,83,239,84,3710.783333,11,18,29,72,343.65,1,3,4,8,250.7833333,10,2,3673,0,0,0,0,1,0,0,703
Esa Anrikkanen,16,163,51,62,113,-21,62,10,133,231,567,29,102,32,3457,10,22,32,99,473,0,0,0,7,161,10,2,1004,2,1,0,0,0,0,,0
Hercules Rockefeller,15,150,51,57,108,-29,30,10,147,217,421,105,254,47,3212.666667,16,20,36,69,356.3166667,0,0,0,2,170.9666667,7,2,2090,0,0,0,0,1,0,0,44
Louie Garrett,9,115,50,68,118,31,25,5,72,208,450,116,246,39,2532,13,23,36,88,314,1,1,2,3,153,7,4,1139,0,1,0,0,0,0,0,472
Aaron Wilson,10,135,49,87,136,31,41,5,223,68,485,48,104,27,2964.85,6,16,22,24,269.2,0,0,0,2,124.1833333,8,1,1835,1,0,0,0,1,0,0,0
Michael Scarn,12,148,49,74,123,15,33,5,258,83,487,54,114,89,3247.716667,7,23,30,31,327.7,0,0,0,3,134.6833333,6,2,2449,0,0,0,0,1,,,
Tony Pepperoni,15,166,49,87,136,4,96,10,340,189,550,60,174,95,3559.033333,9,22,31,35,353.5,0,1,1,1,199.4333333,7,1,3713,0,1,0,0,0,0,0,1
Dieter Dominique,10,128,48,43,91,31,26,0,74,151,420,24,58,34,2538,6,13,19,68,276,0,0,0,5,119,8,3,246,0,2,0,0,0,0,0,0
Patrikov Bure,10,128,48,61,109,30,118,10,310,225,456,26,55,31,3033,6,12,18,63,307,1,1,2,12,339,4,3,246,0,1,0,0,0,0,0,5
Sophia Bennett,13,137,48,64,112,32,60,0,248,211,526,135,303,47,2962.95,10,8,18,97,348.2833333,0,0,0,5,157.1166667,5,3,286,0,1,0,0,0,0,0,0
Demaricus Smyth,17,194,47,61,108,-15,123,30,307,248,492,108,244,161,3923.966667,6,7,13,56,317.9666667,0,0,0,4,239.8666667,7,2,2262,2,0,0,0,2,,,
