"FranchsieID","GoalieId","FHMID","Player.Name","LeagueId","newTeamID","TeamId","SubtotalForId","Season","isPlayoffs","GamesPlayed","Wins","Losses","OvertimeLosses","Minutes","PenaltyMinutes","Shutouts","GoalsAgainst","ShotsAgainst","Assists","EmptyGoalAgainst","PenaltyShotAttempts","Starts","Backups","PenaltyShotSaves","X","X.1"
"5",NA,"1102345","Steven Wonder",1,6,"37","",1,0,40,18,16,6,2417,17,9,70,1196,1,2,0.692,39,40,0,NA,NA
"5",NA,"1102345","Steven Wonder",1,6,"37","",1,1,5,1,4,0,300,0,0,14,137,0,0,0,5,0,0,NA,NA
"6",NA,"1100006","Fernando Garcia",1,4,"6","",1,0,40,30,5,5,2433,2,9,62,1118,5,0,0.75,12,40,0,NA,NA
"6",100006,"1100006","Fernando Garcia",1,4,"6","",1,1,12,5,6,1,720,0,0,33,426,1,0,0,12,0,0,NA,NA
"7",NA,"1100012","Shane Kelley",1,2,"7","",1,0,40,15,17,7,2388,4,5,92,1113,1,1,0.684,19,40,0,NA,NA
"9",NA,"1100002","Ryan Jesster",1,1,"9","",1,0,40,13,18,9,2446,0,3,75,1063,0,0,0.714,28,40,0,NA,NA
"10",NA,"1100008","Mike O'Brien",1,3,"10","",1,0,40,21,12,7,2414,4,6,66,1087,2,1,0.737,19,40,0,NA,NA
"10",100008,"1100008","Mike O'Brien",1,3,"10","",1,1,7,3,4,0,420,0,0,22,313,0,0,0,7,0,0,NA,NA
"14",NA,"1000769","Jonathan Kane",1,5,"14","",1,0,40,23,12,5,2434,0,7,69,1015,1,0,0.6,20,40,0,NA,NA
"14",769,"1000769","Jonathan Kane",1,5,"14","",1,1,10,8,2,0,582,0,0,19,250,0,0,0,10,0,0,NA,NA
"3",100003,"1100003","Mike Honcho",1,7,"38","",2,0,40,28,8,3,2413,0,9,75,1224,3,0,21,40,0,0,NA,NA
"3",100003,"1100003","Mike Honcho",1,7,"38","",2,1,13,6,6,1,755,0,3,27,339,1,0,0,13,0,0,NA,NA
"4",1002,"1001002","John Matthews",1,8,"4","",2,0,40,14,24,2,2351,15,5,101,1283,2,1,6,40,0,0,NA,NA
"5",100011,"1100011","Ajax McFallahan",1,6,"37","",2,0,40,12,24,4,2373,2,4,100,1221,2,0,26,40,0,0,NA,NA
"6",100006,"1100006","Fernando Garcia",1,4,"6","",2,0,40,30,6,4,2381,19,5,73,1149,0,0,13,40,0,0,NA,NA
"6",100006,"1100006","Fernando Garcia",1,4,"6","",2,1,10,8,1,1,602,0,2,13,313,0,0,0,10,0,0,NA,NA
"7",100005,"1100005","Markus Kaitala",1,2,"7","",2,0,37,13,15,9,2250,10,7,79,1140,1,0,26,37,3,0,NA,NA
"7",NA,"1100012","Shane Kelley",1,2,"7","",2,0,4,0,2,1,204,0,0,10,104,0,0,2,3,37,0,NA,NA
"9",100002,"1100002","Ryan Jesster",1,1,"9","",2,0,39,19,16,2,2292,17,3,96,1353,2,0,11,39,0,0,NA,NA
"10",100008,"1100008","Mike O'Brien",1,9,"10","",2,0,40,20,20,0,2327,4,3,97,1119,1,0,30,40,0,0,NA,NA
"10",100008,"1100008","Mike O'Brien",1,9,"10","",2,1,4,0,4,0,239,0,0,9,163,0,0,0,4,0,0,NA,NA
"14",769,"1000769","Jonathan Kane",1,5,"14","",2,0,40,22,13,5,2435,0,6,84,1064,3,0,18,40,0,0,NA,NA
"14",769,"1000769","Jonathan Kane",1,5,"14","",2,1,7,2,4,0,392,15,0,19,275,0,0,0,7,0,0,NA,NA
"3",100003,"1100003","Mike Honcho",1,7,"38","",3,0,40,28,6,6,2459,2,1,74,1083,5,1,32,40,0,22,NA,NA
"3",100003,"1100003","Mike Honcho",1,7,"38","",3,1,11,8,3,0,717,0,2,18,366,0,0,0,11,0,0,NA,NA
"4",100012,"1100012","Shane Kelley",1,8,"4","",3,0,40,22,9,8,2434,17,1,76,1132,3,0,34,40,0,20,NA,NA
"4",100007,"1100007","Grant Dryden",1,8,"4","",3,0,2,0,0,1,25,0,0,0,4,0,0,2,0,40,0,NA,NA
"4",100012,"1100012","Shane Kelley",1,8,"4","",3,1,6,2,3,1,380,2,0,13,171,0,0,0,6,0,0,NA,NA
"4",NA,"1100012","Shane Kelley",1,8,"4","",3,1,6,2,3,1,380,2,0,13,171,0,0,0,6,0,0,NA,NA
"5",100010,"1100010","Martin Bowmen",1,6,"37","",3,0,30,10,11,8,1756,0,0,71,869,2,0,33,29,11,19,NA,NA
"5",100011,"1100011","Ajax McFallahan",1,6,"37","",3,0,13,5,6,0,698,4,2,23,329,0,1,2,11,29,1,NA,NA
"6",100006,"1100006","Fernando Garcia",1,4,"6","",3,0,40,28,7,5,2454,4,4,70,1062,1,0,37,40,0,27,NA,NA
"6",100006,"1100006","Fernando Garcia",1,4,"6","",3,1,5,1,1,3,338,0,0,13,157,0,0,0,5,0,0,NA,NA
"7",100005,"1100005","Markus Kaitala",1,2,"7","",3,0,40,15,20,4,2419,4,0,96,1119,0,2,19,40,0,14,NA,NA
"7",100004,"1000028","CPU Player",1,2,"7","3",3,0,1,0,1,0,12,0,0,2,9,0,0,0,0,40,0,NA,NA
"7",100005,"1100005","Markus Kaitala",1,2,"7","",3,1,15,8,5,2,965,0,1,28,428,0,0,0,15,0,0,NA,NA
"7",100005,"1100005","Markus Kaitala",1,2,"7","",3,1,15,8,5,2,965,0,1,28,428,0,0,0,15,0,0,NA,NA
