Season,Franchise Name,Team Name,W,L,OTL,P,Playoffs?,WC Vs,WC W,WC L,R1 Vs,R1 W,R1 L,R2 Vs,R2 W,R2 L,CF Vs,CF W,CF L,Cup VS,CUP W,CUP L,PLF W,PLF L,Series Won,Series Lost,GM,Co-Gm,Cup Won,President Trophy,0,0,0,0,0,,
59,Baltimore Platoon,Baltimore Platoon,23,39,4,50,1,,,,CHI,1,4,,,,,,,,,,1,4,0,1,JR95,mastersheep,,,0,0,0,0,0,,
59,Calgary Dragons,Calgary Dragons,42,20,4,88,1,,,,,,,CHI,2,4,,,,,,,2,4,0,1,Mike Izzy,Katth,,,0,0,0,0,0,,
59,Hamilton Steelhawks,Hamilton Steelhawks,56,9,1,113,1,,,,,,,EDM,4,0,TEX,3,4,,,,7,4,1,1,ThatDamnMcJesus,dmills,,1,0,1,1,0,0,,
59,Toronto North Stars,Toronto North Stars,44,17,5,93,0,,,,,,,,,,,,,,,,0,0,0,0,ml002,UrsinZ,,,0,0,0,0,0,,
59,Winnipeg Aurora,Winnipeg Aurora,25,37,4,54,0,,,,,,,,,,,,,,,,0,0,0,0,Muerto,Geekusiod,,,0,0,0,0,0,,
59,Tampa Bay Barracuda,Tampa Bay Barracuda,20,38,8,48,1,,,,BUF,1,4,,,,,,,,,,1,4,0,1,Trella,DwightKnight,,,0,0,0,0,0,,
59,Manhattan Rage,Manhattan Rage,21,41,4,46,0,,,,,,,,,,,,,,,,0,0,0,0,JayWhy,Citizen of Adraa,,,0,0,0,0,0,,
59,Edmonton Blizzard,Edmonton Blizzard,34,26,6,74,1,,,,LAP,4,2,HAM,0,4,,,,,,,4,6,1,1,Keygan,Boom,,,0,0,0,0,0,,
59,Los Angeles Panthers,Los Angeles Panthers,31,27,8,70,1,,,,EDM,2,4,,,,,,,,,,2,4,0,1,FuzzSHL,TheDangaZone,,,0,0,0,0,0,,
59,Minnesota Monarchs,Minnesota Monarchs,30,34,2,62,0,,,,,,,,,,,,,,,,0,0,0,0,SpartanGibbles,KlusteR,,,0,0,0,0,0,,
59,New England Wolfpack,New England Wolfpack,22,41,4,47,0,,,,,,,,,,,,,,,,0,0,0,0,Kenvald,39Alaska39,,,0,0,0,0,0,,
59,Texas Renegades,Texas Renegades,49,15,2,100,1.1,,,,,,,SEA,4,0,HAM,4,3,BUF,4,1,12,4,3,0,puolivalmiste,Redcapediver,1,,1,0,1,0,0,,
59,Buffalo Stampede,Buffalo Stampede,50,13,3,103,1,,,,TBB,4,1,ATL,4,0,CHI,4,1,TEX,,,12,2,3,0,WannabeFinn,Tomen,,,0,0,0,0,0,,
59,San Francisco Pride,San Francisco Pride,26,35,5,57,1,,,,SEA,2,4,,,,,,,,,,2,4,0,1,Thatguy91,AgentSmith630,,,0,0,0,0,0,,
59,Chicago Syndicate,Chicago Syndicate,49,15,2,100,1,,,,BAP,4,1,CGY,4,2,BUF,1,4,,,,9,7,2,1,Velvera,O4L,,,0,0,0,0,0,,
59,New Orleans Specters,New Orleans Specters,12,49,5,29,0,,,,,,,,,,,,,,,,0,0,0,0,Jkortesi81,Nictox,,,0,0,0,0,0,,
59,Seattle Argonauts,Seattle Argonauts,35,27,4,74,1,,,,SFP,4,2,TEX,0,4,,,,,,,4,2,1,0,notoriousTig,grok,,,0,0,0,0,0,,
59,Atlanta Inferno,Atlanta Inferno,25,35,6,56,1,,,,,,,BUF,0,4,,,,,,,0,4,0,1,Hotdog,Goldenglutes,,,0,0,0,0,0,,
58,Baltimore Platoon,Baltimore Platoon,27,34,5,59,1,,,,EDM,1,4,,,,,,,,,,1,4,0,1,JR95,mastersheep,,,0,0,0,0,0,,
58,Calgary Dragons,Calgary Dragons,44,19,3,91,1,,,,,,,BUF,1,4,,,,,,,1,4,0,1,Steelhead77,Mike Izzy,,,0,0,0,0,0,,
58,Hamilton Steelhawks,Hamilton Steelhawks,50,13,3,103,1,,,,,,,EDM,3,4,TEX,4,3,BUF,4,1,11,8,2,1,ThatDamnMcJesus,dmills,1,,1,1,2,0,0,,
58,Toronto North Stars,Toronto North Stars,46,14,6,98,1,,,,SFP,4,1,MAN,4,1,BUF,3,4,,,,11,6,2,1,ml002,UrsinZ,,,0,1,1,0,0,,
58,Winnipeg Aurora,Winnipeg Aurora,26,37,3,55,1,,,,BUF,0,4,,,,,,,,,,0,4,0,1,Muerto,Geekusiod,,,0,0,0,0,0,,
58,Tampa Bay Barracuda,Tampa Bay Barracuda,26,38,2,54,0,,,,,,,,,,,,,,,,0,0,0,0,Trella,DwightKnight,,,0,0,0,0,0,,
58,Manhattan Rage,Manhattan Rage,34,26,6,74,1,,,,,,,TOR,1,4,,,,,,,1,4,0,1,JayWhy,Citizen of Adraa,,,0,0,0,0,0,,
58,Edmonton Blizzard,Edmonton Blizzard,42,21,3,87,1,,,,BAP,4,1,,,,,,,,,,4,1,1,0,Keygan,TommySalami,,,0,0,0,0,0,,
58,Los Angeles Panthers,Los Angeles Panthers,29,31,6,64,1,,,,ATL,2,4,,,,,,,,,,2,4,0,1,FuzzSHL,TheDangaZone,,,0,0,0,0,0,,
58,Minnesota Monarchs,Minnesota Monarchs,23,36,7,53,0,,,,,,,,,,,,,,,,0,0,0,0,SpartanGibbles,KlusteR,,,0,0,0,0,0,,
58,New England Wolfpack,New England Wolfpack,25,37,4,54,0,,,,,,,,,,,,,,,,0,0,0,0,Kenvald,Zema,,,0,0,0,0,0,,
58,Texas Renegades,Texas Renegades,54,11,1,109,1,,,,,,,ATL,4,1,HAM,3,4,,,,7,5,1,1,puolivalmiste,Redcapediver,,,0,1,1,0,0,,
58,Buffalo Stampede,Buffalo Stampede,42,18,6,90,1,,,,WPG,4,0,CGY,4,1,TOR,4,3,HAM,1,4,13,8,3,2,WannabeFinn,Tomen,,,1,0,1,0,0,,
58,San Francisco Pride,San Francisco Pride,20,40,6,46,0,,,,,,,,,,,,,,,,0,0,0,0,Thatguy91,AgentSmith630,,,0,0,0,0,0,,
